Cusomer_Id,Channel,Distance_from_Store,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Gender
459,1,less than 2 Km,8861,3783,2223,633,1580,1521,M
460,1,less than 2 Km,4456,5266,13227,25,6818,1393,F
461,2,less than 2 Km,17063,4847,9053,1031,3415,1784,M
462,1,less than 2 Km,26400,1377,4172,830,948,1218,M
463,2,less than 2 Km,17565,3686,4657,1059,1803,668,F
464,2,less than 2 Km,16980,2884,12232,874,3213,249,M
465,1,less than 2 Km,11243,2408,2593,15348,108,1886,M
466,1,less than 2 Km,13134,9347,14316,3141,5079,1894,F
467,1,less than 2 Km,31012,16687,5429,15082,439,1163,M
468,1,less than 2 Km,3047,5970,4910,2198,850,317,M
469,1,less than 2 Km,8607,1750,3580,47,84,2501,M
470,1,less than 2 Km,3097,4230,16483,575,241,2080,F
471,1,less than 2 Km,8533,5506,5160,13486,1377,1498,M
472,1,less than 2 Km,21117,1162,4754,269,1328,395,M
473,1,less than 2 Km,1982,3218,1493,1541,356,1449,F
474,1,less than 2 Km,16731,3922,7994,688,2371,838,M
475,1,less than 2 Km,29703,12051,16027,13135,182,2204,M
476,1,less than 2 Km,39228,1431,764,4510,93,2346,M
477,2,less than 2 Km,14531,15488,30243,437,14841,1867,F
478,1,less than 2 Km,10290,1981,2232,1038,168,2125,M
479,1,less than 2 Km,2787,1698,2510,65,477,52,M
